Neighbourhood,City,Country,Latitude,Longitude
NEW AURORA - ENGLISH TURN,New Orleans,United States,44.8408158,-93.5191807
TALL TIMBERS - BRECHTEL,New Orleans,United States,29.9049,-89.9976
FISCHER DEV,New Orleans,United States,29.93239931,-90.04154205
McDONOGH,New Orleans,United States,29.95141255,-90.05118693436822
LOWER GARDEN DISTRICT,New Orleans,United States,29.9315027,-90.0721813
EAST RIVERSIDE,New Orleans,United States,39.9317421,-79.9272735
IRISH CHANNEL,New Orleans,United States,29.9238159,-90.0806278
TOURO,New Orleans,United States,29.9258607,-90.09206596866656
MILAN,New Orleans,United States,29.9415146,-90.1012127
UPTOWN,New Orleans,United States,29.9364059,-90.101181
WEST RIVERSIDE,New Orleans,United States,35.6697932,-85.7852597
EAST CARROLLTON,New Orleans,United States,33.59633545,-85.04473235745387
FRERET,New Orleans,United States,29.9349198,-90.107275
GARDEN DISTRICT,New Orleans,United States,29.9296054,-90.0844053
LEONIDAS,New Orleans,United States,29.94894895,-90.13183327284864
HOLLYGROVE,New Orleans,United States,29.966846,-90.1203738
TULANE - GRAVIER,New Orleans,United States,29.9592,-90.0849
TREME - LAFITTE,New Orleans,United States,29.9622979,-90.0720362
SEVENTH WARD,New Orleans,United States,29.9604812,-90.0159035
MARIGNY,New Orleans,United States,29.965759,-90.054238
ST. ROCH,New Orleans,United States,29.9755154,-90.05096685000001
DIXON,New Orleans,United States,29.9492287,-90.0803262
LAKEWOOD,New Orleans,United States,29.9029829,-90.006459
NAVARRE,New Orleans,United States,29.9891195,-90.101551
CITY PARK,New Orleans,United States,30.0006067,-90.09328763520448
LAKEVIEW,New Orleans,United States,30.0046469,-90.1081284
WEST END,New Orleans,United States,30.0217851,-90.1200511
LAKESHORE - LAKE VISTA,New Orleans,United States,28.5645594,-81.533585
FILMORE,New Orleans,United States,30.0146404,-90.06732505
DILLARD,New Orleans,United States,29.9962374,-90.0653677710487
ST. ANTHONY,New Orleans,United States,45.0283001,-93.2187368
LAKE TERRACE & OAKS,New Orleans,United States,32.479658,-86.36752
MILNEBURG,New Orleans,United States,30.0243686,-90.0611828
PONTCHARTRAIN PARK,New Orleans,United States,30.0236132,-90.04107381780128
GENTILLY WOODS,New Orleans,United States,30.0104799,-90.0367375
GENTILLY TERRACE,New Orleans,United States,30.0065911,-90.0534046
DESIRE AREA,New Orleans,United States,47.4463904,-122.10806701778826
FLORIDA AREA,New Orleans,United States,26.14220995,-81.56170378849319
FLORIDA DEV,New Orleans,United States,29.639504950000003,-82.42044737532613
LOWER NINTH WARD,New Orleans,United States,29.9686375,-90.0140623
BYWATER,New Orleans,United States,29.9654812,-90.0409042
HOLY CROSS,New Orleans,United States,29.9579103,-90.0225397
PINES VILLAGE,New Orleans,United States,30.0229796,-90.0192372
PLUM ORCHARD,New Orleans,United States,30.0179372,-89.999582
READ BLVD WEST,New Orleans,United States,30.0199025,-89.9836523
READ BLVD EAST,New Orleans,United States,30.0316819,-89.9752947
WEST LAKE FOREST,New Orleans,United States,42.2219684,-87.8731256
LITTLE WOODS,New Orleans,United States,30.0752002,-89.9442349
FAIRGROUNDS,New Orleans,United States,29.98376715,-90.08126961954916
IBERVILLE,New Orleans,United States,29.981962,-90.10934
